[P0] [HEARTBEAT] SimTick: 8 | NetHead: 7 | Confirmed: 5 | Missing: 3 | StateHash: 0xA7039DC5
[P1] [HEARTBEAT] SimTick: 10 | NetHead: 10 | Confirmed: 5 | Missing: 5 | StateHash: 0xA7039DC5
[P2] [HEARTBEAT] SimTick: 11 | NetHead: 10 | Confirmed: 6 | Missing: 5 | StateHash: 0xA7039DC5
[P3] [HEARTBEAT] SimTick: 15 | NetHead: 14 | Confirmed: 10 | Missing: 5 | StateHash: 0x57F44C99
[P4] [HEARTBEAT] SimTick: 15 | NetHead: 15 | Confirmed: 10 | Missing: 5 | StateHash: 0x57F44C99
[P5] [HEARTBEAT] SimTick: 17 | NetHead: 17 | Confirmed: 13 | Missing: 4 | StateHash: 0x57F44C99
[P6] [HEARTBEAT] SimTick: 20 | NetHead: 20 | Confirmed: 15 | Missing: 5 | StateHash: 0x57F44C99
[P7] [HEARTBEAT] SimTick: 20 | NetHead: 20 | Confirmed: 15 | Missing: 5 | StateHash: 0x57F44C99
[P0] [HEARTBEAT] SimTick: 25 | NetHead: 25 | Confirmed: 20 | Missing: 5 | StateHash: 0xA4EDEE1A
[P1] [HEARTBEAT] SimTick: 27 | NetHead: 26 | Confirmed: 22 | Missing: 5 | StateHash: 0xA4EDEE1A
[P2] [HEARTBEAT] SimTick: 30 | NetHead: 29 | Confirmed: 25 | Missing: 5 | StateHash: 0xA4EDEE1A
[P3] [HEARTBEAT] SimTick: 30 | NetHead: 30 | Confirmed: 25 | Missing: 5 | StateHash: 0xA4EDEE1A
[P4] [HEARTBEAT] SimTick: 32 | NetHead: 31 | Confirmed: 27 | Missing: 5 | StateHash: 0xA4EDEE1A
[P5] [HEARTBEAT] SimTick: 35 | NetHead: 34 | Confirmed: 30 | Missing: 5 | StateHash: 0x1911258C
[P6] [HEARTBEAT] SimTick: 35 | NetHead: 35 | Confirmed: 30 | Missing: 5 | StateHash: 0x1911258C
[P7] [HEARTBEAT] SimTick: 36 | NetHead: 36 | Confirmed: 32 | Missing: 4 | StateHash: 0x1911258C
[P0] [HEARTBEAT] SimTick: 40 | NetHead: 40 | Confirmed: 36 | Missing: 4 | StateHash: 0x1911258C
[P1] [HEARTBEAT] SimTick: 43 | NetHead: 42 | Confirmed: 38 | Missing: 5 | StateHash: 0x1911258C
[P2] [HEARTBEAT] SimTick: 45 | NetHead: 45 | Confirmed: 40 | Missing: 5 | StateHash: 0x29BFA861
[P3] [HEARTBEAT] SimTick: 45 | NetHead: 45 | Confirmed: 40 | Missing: 5 | StateHash: 0x29BFA861
[P4] [HEARTBEAT] SimTick: 46 | NetHead: 46 | Confirmed: 42 | Missing: 4 | StateHash: 0x29BFA861
[P5] [HEARTBEAT] SimTick: 49 | NetHead: 49 | Confirmed: 45 | Missing: 4 | StateHash: 0x29BFA861
[P6] [HEARTBEAT] SimTick: 50 | NetHead: 50 | Confirmed: 45 | Missing: 5 | StateHash: 0x29BFA861
[P7] [HEARTBEAT] SimTick: 51 | NetHead: 50 | Confirmed: 46 | Missing: 5 | StateHash: 0x29BFA861
[P0] [HEARTBEAT] SimTick: 55 | NetHead: 55 | Confirmed: 50 | Missing: 5 | StateHash: 0xA1C59119
[P1] [HEARTBEAT] SimTick: 56 | NetHead: 56 | Confirmed: 51 | Missing: 5 | StateHash: 0xA1C59119
[P2] [HEARTBEAT] SimTick: 58 | NetHead: 58 | Confirmed: 53 | Missing: 5 | StateHash: 0xA1C59119
[P3] [HEARTBEAT] SimTick: 60 | NetHead: 60 | Confirmed: 55 | Missing: 5 | StateHash: 0xA1C59119
[P4] [HEARTBEAT] SimTick: 60 | NetHead: 60 | Confirmed: 55 | Missing: 5 | StateHash: 0xA1C59119
[P5] [HEARTBEAT] SimTick: 62 | NetHead: 61 | Confirmed: 57 | Missing: 5 | StateHash: 0xA1C59119
[P6] [HEARTBEAT] SimTick: 62 | NetHead: 62 | Confirmed: 58 | Missing: 4 | StateHash: 0x42A3ED46
[P7] [HEARTBEAT] SimTick: 65 | NetHead: 65 | Confirmed: 60 | Missing: 5 | StateHash: 0x42A3ED46
[P0] [HEARTBEAT] SimTick: 68 | NetHead: 67 | Confirmed: 63 | Missing: 5 | StateHash: 0x42A3ED46
[P1] [HEARTBEAT] SimTick: 70 | NetHead: 70 | Confirmed: 65 | Missing: 5 | StateHash: 0x42A3ED46
[P2] [HEARTBEAT] SimTick: 71 | NetHead: 71 | Confirmed: 66 | Missing: 5 | StateHash: 0x42A3ED46
[P3] [HEARTBEAT] SimTick: 72 | NetHead: 72 | Confirmed: 67 | Missing: 5 | StateHash: 0x42A3ED46
[P4] [HEARTBEAT] SimTick: 73 | NetHead: 73 | Confirmed: 69 | Missing: 4 | StateHash: 0x42A3ED46
[P5] [HEARTBEAT] SimTick: 75 | NetHead: 75 | Confirmed: 70 | Missing: 5 | StateHash: 0x3EA2E10C
[P6] [HEARTBEAT] SimTick: 76 | NetHead: 76 | Confirmed: 72 | Missing: 4 | StateHash: 0x3EA2E10C
[P7] [HEARTBEAT] SimTick: 77 | NetHead: 77 | Confirmed: 72 | Missing: 5 | StateHash: 0x3EA2E10C
[P0] [HEARTBEAT] SimTick: 82 | NetHead: 81 | Confirmed: 77 | Missing: 5 | StateHash: 0x3EA2E10C
[P1] [HEARTBEAT] SimTick: 82 | NetHead: 82 | Confirmed: 77 | Missing: 5 | StateHash: 0x3EA2E10C
[P2] [HEARTBEAT] SimTick: 85 | NetHead: 85 | Confirmed: 80 | Missing: 5 | StateHash: 0x3EA2E10C
[P3] [HEARTBEAT] SimTick: 86 | NetHead: 85 | Confirmed: 81 | Missing: 5 | StateHash: 0x3EA2E10C
[P4] [HEARTBEAT] SimTick: 86 | NetHead: 86 | Confirmed: 81 | Missing: 5 | StateHash: 0x3EA2E10C
