========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 1 bound to :50001. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 10 | NetHead: 10 | Confirmed: 5 | Missing: 5 | StateHash: 0xA7039DC5
[HEARTBEAT] SimTick: 27 | NetHead: 26 | Confirmed: 22 | Missing: 5 | StateHash: 0xA4EDEE1A
[HEARTBEAT] SimTick: 43 | NetHead: 42 | Confirmed: 38 | Missing: 5 | StateHash: 0x1911258C
[HEARTBEAT] SimTick: 56 | NetHead: 56 | Confirmed: 51 | Missing: 5 | StateHash: 0xA1C59119
[HEARTBEAT] SimTick: 70 | NetHead: 70 | Confirmed: 65 | Missing: 5 | StateHash: 0x42A3ED46
[HEARTBEAT] SimTick: 82 | NetHead: 82 | Confirmed: 77 | Missing: 5 | StateHash: 0x3EA2E10C
[HEARTBEAT] SimTick: 96 | NetHead: 96 | Confirmed: 91 | Missing: 5 | StateHash: 0x3EA2E10C
[HEARTBEAT] SimTick: 110 | NetHead: 110 | Confirmed: 105 | Missing: 5 | StateHash: 0x3EA2E10C
[HEARTBEAT] SimTick: 124 | NetHead: 124 | Confirmed: 119 | Missing: 5 | StateHash: 0x3EA2E10C
[HEARTBEAT] SimTick: 136 | NetHead: 136 | Confirmed: 131 | Missing: 5 | StateHash: 0x3AAD2D69
[HEARTBEAT] SimTick: 150 | NetHead: 150 | Confirmed: 145 | Missing: 5 | StateHash: 0xAF1E896A
[HEARTBEAT] SimTick: 164 | NetHead: 164 | Confirmed: 159 | Missing: 5 | StateHash: 0xC54772C1
[HEARTBEAT] SimTick: 177 | NetHead: 177 | Confirmed: 172 | Missing: 5 | StateHash: 0x08A4DFC9
[HEARTBEAT] SimTick: 190 | NetHead: 190 | Confirmed: 186 | Missing: 4 | StateHash: 0xD8461D76
[HEARTBEAT] SimTick: 204 | NetHead: 204 | Confirmed: 200 | Missing: 4 | StateHash: 0x56DFACEC
[HEARTBEAT] SimTick: 217 | NetHead: 217 | Confirmed: 212 | Missing: 5 | StateHash: 0x56DFACEC
[HEARTBEAT] SimTick: 231 | NetHead: 231 | Confirmed: 227 | Missing: 4 | StateHash: 0x56DFACEC
[HEARTBEAT] SimTick: 241 | NetHead: 241 | Confirmed: 236 | Missing: 5 | StateHash: 0x56DFACEC
[HEARTBEAT] SimTick: 254 | NetHead: 253 | Confirmed: 249 | Missing: 5 | StateHash: 0xBA9F6941
[HEARTBEAT] SimTick: 266 | NetHead: 266 | Confirmed: 261 | Missing: 5 | StateHash: 0x71705922
[HEARTBEAT] SimTick: 281 | NetHead: 281 | Confirmed: 276 | Missing: 5 | StateHash: 0xD13626DC
[HEARTBEAT] SimTick: 292 | NetHead: 292 | Confirmed: 289 | Missing: 3 | StateHash: 0x0405C401
[HEARTBEAT] SimTick: 306 | NetHead: 306 | Confirmed: 302 | Missing: 4 | StateHash: 0x31BA165E
