========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 3 bound to :50003. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 61 | NetHead: 60 | Confirmed: 14 | Missing: 47 | StateHash: 0x1911258C
[HEARTBEAT] SimTick: 121 | NetHead: 120 | Confirmed: 50 | Missing: 71 | StateHash: 0x42A3ED46
[HEARTBEAT] SimTick: 181 | NetHead: 180 | Confirmed: 94 | Missing: 87 | StateHash: 0x5180B0F3
[HEARTBEAT] SimTick: 241 | NetHead: 240 | Confirmed: 136 | Missing: 105 | StateHash: 0xCEF5ADAC
[HEARTBEAT] SimTick: 301 | NetHead: 300 | Confirmed: 179 | Missing: 122 | StateHash: 0x47759EC8
[HEARTBEAT] SimTick: 361 | NetHead: 360 | Confirmed: 217 | Missing: 144 | StateHash: 0x835E98A3
[HEARTBEAT] SimTick: 421 | NetHead: 420 | Confirmed: 281 | Missing: 140 | StateHash: 0x2B2AD61B
[HEARTBEAT] SimTick: 481 | NetHead: 480 | Confirmed: 336 | Missing: 145 | StateHash: 0x1040F153
[HEARTBEAT] SimTick: 541 | NetHead: 540 | Confirmed: 402 | Missing: 139 | StateHash: 0x965AC000
[HEARTBEAT] SimTick: 601 | NetHead: 600 | Confirmed: 456 | Missing: 145 | StateHash: 0xBCE70DAF
[HEARTBEAT] SimTick: 661 | NetHead: 660 | Confirmed: 523 | Missing: 138 | StateHash: 0xAFA332D5
[HEARTBEAT] SimTick: 721 | NetHead: 720 | Confirmed: 581 | Missing: 140 | StateHash: 0x94B44E83
[HEARTBEAT] SimTick: 781 | NetHead: 780 | Confirmed: 636 | Missing: 145 | StateHash: 0xB7B6D89B
[HEARTBEAT] SimTick: 841 | NetHead: 840 | Confirmed: 693 | Missing: 148 | StateHash: 0x91F6E8C3
[HEARTBEAT] SimTick: 902 | NetHead: 901 | Confirmed: 763 | Missing: 139 | StateHash: 0xB0248C23
[HEARTBEAT] SimTick: 962 | NetHead: 961 | Confirmed: 824 | Missing: 138 | StateHash: 0xEB781A33
[HEARTBEAT] SimTick: 1022 | NetHead: 1021 | Confirmed: 881 | Missing: 141 | StateHash: 0xBDB35ABB
[HEARTBEAT] SimTick: 1082 | NetHead: 1081 | Confirmed: 943 | Missing: 139 | StateHash: 0xB2733593
[HEARTBEAT] SimTick: 1142 | NetHead: 1141 | Confirmed: 1004 | Missing: 138 | StateHash: 0x3CA75F93
[HEARTBEAT] SimTick: 1202 | NetHead: 1201 | Confirmed: 1057 | Missing: 145 | StateHash: 0x6CCF10E3
[HEARTBEAT] SimTick: 1262 | NetHead: 1261 | Confirmed: 1120 | Missing: 142 | StateHash: 0x4CA4DF8B
[HEARTBEAT] SimTick: 1322 | NetHead: 1321 | Confirmed: 1182 | Missing: 140 | StateHash: 0xC93717A3
