========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 5 bound to :50005. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 61 | NetHead: 60 | Confirmed: 47 | Missing: 14 | StateHash: 0xA1C59119
[HEARTBEAT] SimTick: 121 | NetHead: 120 | Confirmed: 107 | Missing: 14 | StateHash: 0x4348D945
[HEARTBEAT] SimTick: 181 | NetHead: 180 | Confirmed: 167 | Missing: 14 | StateHash: 0x08A4DFC9
[HEARTBEAT] SimTick: 241 | NetHead: 240 | Confirmed: 227 | Missing: 14 | StateHash: 0x65BB6F25
[HEARTBEAT] SimTick: 301 | NetHead: 300 | Confirmed: 287 | Missing: 14 | StateHash: 0x20F8E321
[HEARTBEAT] SimTick: 361 | NetHead: 360 | Confirmed: 347 | Missing: 14 | StateHash: 0x7D08F545
[HEARTBEAT] SimTick: 421 | NetHead: 420 | Confirmed: 407 | Missing: 14 | StateHash: 0xA352F6B9
[HEARTBEAT] SimTick: 481 | NetHead: 480 | Confirmed: 467 | Missing: 14 | StateHash: 0xCA48CF55
[HEARTBEAT] SimTick: 541 | NetHead: 540 | Confirmed: 527 | Missing: 14 | StateHash: 0x3E1B4F41
[HEARTBEAT] SimTick: 601 | NetHead: 600 | Confirmed: 587 | Missing: 14 | StateHash: 0xC453ED45
[HEARTBEAT] SimTick: 661 | NetHead: 660 | Confirmed: 647 | Missing: 14 | StateHash: 0x46F46B21
[HEARTBEAT] SimTick: 721 | NetHead: 720 | Confirmed: 707 | Missing: 14 | StateHash: 0x01FE1DB5
[HEARTBEAT] SimTick: 781 | NetHead: 780 | Confirmed: 767 | Missing: 14 | StateHash: 0x10107109
[HEARTBEAT] SimTick: 841 | NetHead: 840 | Confirmed: 827 | Missing: 14 | StateHash: 0x2782E245
[HEARTBEAT] SimTick: 902 | NetHead: 901 | Confirmed: 888 | Missing: 14 | StateHash: 0xAA5A4549
[HEARTBEAT] SimTick: 962 | NetHead: 961 | Confirmed: 948 | Missing: 14 | StateHash: 0x148BF155
[HEARTBEAT] SimTick: 1022 | NetHead: 1021 | Confirmed: 1008 | Missing: 14 | StateHash: 0xCE6ADFA1
[HEARTBEAT] SimTick: 1082 | NetHead: 1081 | Confirmed: 1068 | Missing: 14 | StateHash: 0x629B4305
[HEARTBEAT] SimTick: 1142 | NetHead: 1141 | Confirmed: 1128 | Missing: 14 | StateHash: 0xF2DA1D61
[HEARTBEAT] SimTick: 1202 | NetHead: 1201 | Confirmed: 1188 | Missing: 14 | StateHash: 0x9076F3F5
[HEARTBEAT] SimTick: 1262 | NetHead: 1261 | Confirmed: 1248 | Missing: 14 | StateHash: 0xDB274659
[HEARTBEAT] SimTick: 1322 | NetHead: 1321 | Confirmed: 1308 | Missing: 14 | StateHash: 0xCA3B5745
[HEARTBEAT] SimTick: 1382 | NetHead: 1381 | Confirmed: 1368 | Missing: 14 | StateHash: 0x2C9C4BE1
[HEARTBEAT] SimTick: 1442 | NetHead: 1441 | Confirmed: 1428 | Missing: 14 | StateHash: 0x2C764CE5
[HEARTBEAT] SimTick: 1502 | NetHead: 1501 | Confirmed: 1488 | Missing: 14 | StateHash: 0x86257539
[HEARTBEAT] SimTick: 1562 | NetHead: 1561 | Confirmed: 1548 | Missing: 14 | StateHash: 0x76555E45
[HEARTBEAT] SimTick: 1622 | NetHead: 1621 | Confirmed: 1608 | Missing: 14 | StateHash: 0x42514B61
[HEARTBEAT] SimTick: 1682 | NetHead: 1681 | Confirmed: 1668 | Missing: 14 | StateHash: 0x0D1BD335
[HEARTBEAT] SimTick: 1742 | NetHead: 1741 | Confirmed: 1728 | Missing: 14 | StateHash: 0x25B300A1
[HEARTBEAT] SimTick: 1803 | NetHead: 1802 | Confirmed: 1789 | Missing: 14 | StateHash: 0xBAE0E345
[HEARTBEAT] SimTick: 1863 | NetHead: 1862 | Confirmed: 1849 | Missing: 14 | StateHash: 0xDBC62D61
[HEARTBEAT] SimTick: 1923 | NetHead: 1922 | Confirmed: 1909 | Missing: 14 | StateHash: 0x6E6412D5
[HEARTBEAT] SimTick: 1983 | NetHead: 1982 | Confirmed: 1969 | Missing: 14 | StateHash: 0xE2154109
[HEARTBEAT] SimTick: 2043 | NetHead: 2042 | Confirmed: 2029 | Missing: 14 | StateHash: 0x6488D085
[HEARTBEAT] SimTick: 2103 | NetHead: 2102 | Confirmed: 2089 | Missing: 14 | StateHash: 0xBB976821
[HEARTBEAT] SimTick: 2163 | NetHead: 2162 | Confirmed: 2149 | Missing: 14 | StateHash: 0xA1F88725
[HEARTBEAT] SimTick: 2223 | NetHead: 2222 | Confirmed: 2209 | Missing: 14 | StateHash: 0xDD0F80F9
[HEARTBEAT] SimTick: 2283 | NetHead: 2282 | Confirmed: 2269 | Missing: 14 | StateHash: 0xA3BF6585
[HEARTBEAT] SimTick: 2343 | NetHead: 2342 | Confirmed: 2329 | Missing: 14 | StateHash: 0x157FBDE9
[HEARTBEAT] SimTick: 2403 | NetHead: 2402 | Confirmed: 2389 | Missing: 14 | StateHash: 0x06FF5F45
[HEARTBEAT] SimTick: 2463 | NetHead: 2462 | Confirmed: 2449 | Missing: 14 | StateHash: 0x4CA64F81
[HEARTBEAT] SimTick: 2523 | NetHead: 2522 | Confirmed: 2509 | Missing: 14 | StateHash: 0x3E912F85
[HEARTBEAT] SimTick: 2583 | NetHead: 2582 | Confirmed: 2569 | Missing: 14 | StateHash: 0xFFAF05F1
[HEARTBEAT] SimTick: 2643 | NetHead: 2642 | Confirmed: 2629 | Missing: 14 | StateHash: 0x093E7465
[HEARTBEAT] SimTick: 2704 | NetHead: 2703 | Confirmed: 2690 | Missing: 14 | StateHash: 0xC95BE5E1
[HEARTBEAT] SimTick: 2764 | NetHead: 2763 | Confirmed: 2750 | Missing: 14 | StateHash: 0x26BAC605
[HEARTBEAT] SimTick: 2826 | NetHead: 2825 | Confirmed: 2812 | Missing: 14 | StateHash: 0xA705D0A1
[HEARTBEAT] SimTick: 2886 | NetHead: 2885 | Confirmed: 2872 | Missing: 14 | StateHash: 0x2AFBB325
[HEARTBEAT] SimTick: 2946 | NetHead: 2945 | Confirmed: 2932 | Missing: 14 | StateHash: 0x0AC59BC9
[HEARTBEAT] SimTick: 3006 | NetHead: 3005 | Confirmed: 2992 | Missing: 14 | StateHash: 0x414F1545
[HEARTBEAT] SimTick: 3066 | NetHead: 3065 | Confirmed: 3052 | Missing: 14 | StateHash: 0xCBBD9F91
[HEARTBEAT] SimTick: 3126 | NetHead: 3125 | Confirmed: 3112 | Missing: 14 | StateHash: 0xAE016375
[HEARTBEAT] SimTick: 3186 | NetHead: 3185 | Confirmed: 3172 | Missing: 14 | StateHash: 0x61C9D329
[HEARTBEAT] SimTick: 3246 | NetHead: 3245 | Confirmed: 3232 | Missing: 14 | StateHash: 0xCC26F905
[HEARTBEAT] SimTick: 3306 | NetHead: 3305 | Confirmed: 3292 | Missing: 14 | StateHash: 0xFCC22C89
[HEARTBEAT] SimTick: 3366 | NetHead: 3365 | Confirmed: 3352 | Missing: 14 | StateHash: 0x895EF155
[HEARTBEAT] SimTick: 3426 | NetHead: 3425 | Confirmed: 3412 | Missing: 14 | StateHash: 0xF09725A9
[HEARTBEAT] SimTick: 3486 | NetHead: 3485 | Confirmed: 3472 | Missing: 14 | StateHash: 0x4AB95A85
[HEARTBEAT] SimTick: 3546 | NetHead: 3545 | Confirmed: 3532 | Missing: 14 | StateHash: 0x41664559
[HEARTBEAT] SimTick: 3606 | NetHead: 3605 | Confirmed: 3592 | Missing: 14 | StateHash: 0xF7F98015
[HEARTBEAT] SimTick: 3667 | NetHead: 3666 | Confirmed: 3653 | Missing: 14 | StateHash: 0x2EFFE2A9
[HEARTBEAT] SimTick: 3727 | NetHead: 3726 | Confirmed: 3713 | Missing: 14 | StateHash: 0x7D595285
[HEARTBEAT] SimTick: 3787 | NetHead: 3786 | Confirmed: 3773 | Missing: 14 | StateHash: 0x0DDF7571
[HEARTBEAT] SimTick: 3847 | NetHead: 3846 | Confirmed: 3833 | Missing: 14 | StateHash: 0x242EC745
[HEARTBEAT] SimTick: 3907 | NetHead: 3906 | Confirmed: 3893 | Missing: 14 | StateHash: 0x8CE290A1
[HEARTBEAT] SimTick: 3967 | NetHead: 3966 | Confirmed: 3953 | Missing: 14 | StateHash: 0xC7B49B05
[HEARTBEAT] SimTick: 4027 | NetHead: 4026 | Confirmed: 4013 | Missing: 14 | StateHash: 0x4F4AF929
[HEARTBEAT] SimTick: 4087 | NetHead: 4086 | Confirmed: 4073 | Missing: 14 | StateHash: 0xDB1D5295
[HEARTBEAT] SimTick: 4147 | NetHead: 4146 | Confirmed: 4133 | Missing: 14 | StateHash: 0x79DEFA89
[HEARTBEAT] SimTick: 4207 | NetHead: 4206 | Confirmed: 4193 | Missing: 14 | StateHash: 0x6A8C2345
[HEARTBEAT] SimTick: 4267 | NetHead: 4266 | Confirmed: 4253 | Missing: 14 | StateHash: 0x8BAC1761
[HEARTBEAT] SimTick: 4327 | NetHead: 4326 | Confirmed: 4313 | Missing: 14 | StateHash: 0xC672B1E5
[HEARTBEAT] SimTick: 4387 | NetHead: 4386 | Confirmed: 4373 | Missing: 14 | StateHash: 0xA20DB5D9
[HEARTBEAT] SimTick: 4447 | NetHead: 4446 | Confirmed: 4433 | Missing: 14 | StateHash: 0xB6089D05
[HEARTBEAT] SimTick: 4507 | NetHead: 4506 | Confirmed: 4493 | Missing: 14 | StateHash: 0x3BC86BB9
[HEARTBEAT] SimTick: 4567 | NetHead: 4566 | Confirmed: 4553 | Missing: 14 | StateHash: 0x8D7A9525
[HEARTBEAT] SimTick: 4627 | NetHead: 4626 | Confirmed: 4613 | Missing: 14 | StateHash: 0x79E6C139
[HEARTBEAT] SimTick: 4687 | NetHead: 4686 | Confirmed: 4673 | Missing: 14 | StateHash: 0x92E5D345
[HEARTBEAT] SimTick: 4748 | NetHead: 4747 | Confirmed: 4734 | Missing: 14 | StateHash: 0x2F3678DE
[HEARTBEAT] SimTick: 4808 | NetHead: 4807 | Confirmed: 4794 | Missing: 14 | StateHash: 0x8291C7F5
[HEARTBEAT] SimTick: 4868 | NetHead: 4867 | Confirmed: 4854 | Missing: 14 | StateHash: 0x0B6AD79E
[HEARTBEAT] SimTick: 4928 | NetHead: 4927 | Confirmed: 4914 | Missing: 14 | StateHash: 0x571D9285
[HEARTBEAT] SimTick: 4988 | NetHead: 4987 | Confirmed: 4974 | Missing: 14 | StateHash: 0x2372E726
[HEARTBEAT] SimTick: 5048 | NetHead: 5047 | Confirmed: 5034 | Missing: 14 | StateHash: 0xE14EF185
[HEARTBEAT] SimTick: 5108 | NetHead: 5107 | Confirmed: 5094 | Missing: 14 | StateHash: 0x5EF66386
[HEARTBEAT] SimTick: 5168 | NetHead: 5167 | Confirmed: 5154 | Missing: 14 | StateHash: 0x96CD7885
[HEARTBEAT] SimTick: 5228 | NetHead: 5227 | Confirmed: 5214 | Missing: 14 | StateHash: 0x552B4466
[HEARTBEAT] SimTick: 5288 | NetHead: 5287 | Confirmed: 5274 | Missing: 14 | StateHash: 0x05816785
[HEARTBEAT] SimTick: 5348 | NetHead: 5347 | Confirmed: 5334 | Missing: 14 | StateHash: 0x5BD644B6
[HEARTBEAT] SimTick: 5408 | NetHead: 5407 | Confirmed: 5394 | Missing: 14 | StateHash: 0x73F55245
[HEARTBEAT] SimTick: 5468 | NetHead: 5467 | Confirmed: 5454 | Missing: 14 | StateHash: 0x961221CE
[HEARTBEAT] SimTick: 5528 | NetHead: 5527 | Confirmed: 5514 | Missing: 14 | StateHash: 0x03814815
[HEARTBEAT] SimTick: 5588 | NetHead: 5587 | Confirmed: 5574 | Missing: 14 | StateHash: 0xE8453A1E
[HEARTBEAT] SimTick: 5648 | NetHead: 5647 | Confirmed: 5634 | Missing: 14 | StateHash: 0x7336CF45
[HEARTBEAT] SimTick: 5708 | NetHead: 5707 | Confirmed: 5694 | Missing: 14 | StateHash: 0xF95B9E8E
[HEARTBEAT] SimTick: 5769 | NetHead: 5768 | Confirmed: 5755 | Missing: 14 | StateHash: 0x68C1E295
[HEARTBEAT] SimTick: 5829 | NetHead: 5828 | Confirmed: 5815 | Missing: 14 | StateHash: 0x6A1558DE
[HEARTBEAT] SimTick: 5889 | NetHead: 5888 | Confirmed: 5875 | Missing: 14 | StateHash: 0xE7178745
[HEARTBEAT] SimTick: 5949 | NetHead: 5948 | Confirmed: 5935 | Missing: 14 | StateHash: 0x6BE95B66
[HEARTBEAT] SimTick: 6009 | NetHead: 6008 | Confirmed: 5995 | Missing: 14 | StateHash: 0xE52B46A5
[HEARTBEAT] SimTick: 6069 | NetHead: 6068 | Confirmed: 6055 | Missing: 14 | StateHash: 0x27538686
[HEARTBEAT] SimTick: 6129 | NetHead: 6128 | Confirmed: 6115 | Missing: 14 | StateHash: 0x66A66E05
[HEARTBEAT] SimTick: 6189 | NetHead: 6188 | Confirmed: 6175 | Missing: 14 | StateHash: 0x294B7546
[HEARTBEAT] SimTick: 6249 | NetHead: 6248 | Confirmed: 6235 | Missing: 14 | StateHash: 0x7AE66065
[HEARTBEAT] SimTick: 6309 | NetHead: 6308 | Confirmed: 6295 | Missing: 14 | StateHash: 0x5E55D1AE
[HEARTBEAT] SimTick: 6369 | NetHead: 6368 | Confirmed: 6355 | Missing: 14 | StateHash: 0x4122E185
[HEARTBEAT] SimTick: 6429 | NetHead: 6428 | Confirmed: 6415 | Missing: 14 | StateHash: 0x7809778E
[HEARTBEAT] SimTick: 6489 | NetHead: 6488 | Confirmed: 6475 | Missing: 14 | StateHash: 0x33FE1C25
[HEARTBEAT] SimTick: 6549 | NetHead: 6548 | Confirmed: 6535 | Missing: 14 | StateHash: 0x60A7A8EE
[HEARTBEAT] SimTick: 6609 | NetHead: 6608 | Confirmed: 6595 | Missing: 14 | StateHash: 0x577291C5
[HEARTBEAT] SimTick: 6669 | NetHead: 6668 | Confirmed: 6655 | Missing: 14 | StateHash: 0xFA8F109E
[HEARTBEAT] SimTick: 6730 | NetHead: 6729 | Confirmed: 6716 | Missing: 14 | StateHash: 0xA8A41A05
[HEARTBEAT] SimTick: 6790 | NetHead: 6789 | Confirmed: 6776 | Missing: 14 | StateHash: 0x1351381E
[HEARTBEAT] SimTick: 6850 | NetHead: 6849 | Confirmed: 6836 | Missing: 14 | StateHash: 0xAFCFCB05
[HEARTBEAT] SimTick: 6910 | NetHead: 6909 | Confirmed: 6896 | Missing: 14 | StateHash: 0x9B852A46
[HEARTBEAT] SimTick: 6970 | NetHead: 6969 | Confirmed: 6956 | Missing: 14 | StateHash: 0xAF7A2F35
[HEARTBEAT] SimTick: 7030 | NetHead: 7029 | Confirmed: 7016 | Missing: 14 | StateHash: 0x4BB62A3E
[HEARTBEAT] SimTick: 7090 | NetHead: 7089 | Confirmed: 7076 | Missing: 14 | StateHash: 0xCE8C1545
[HEARTBEAT] SimTick: 7150 | NetHead: 7149 | Confirmed: 7136 | Missing: 14 | StateHash: 0xCD30BFAE
[HEARTBEAT] SimTick: 7210 | NetHead: 7209 | Confirmed: 7196 | Missing: 14 | StateHash: 0x3B32C3F5
[HEARTBEAT] SimTick: 7270 | NetHead: 7269 | Confirmed: 7256 | Missing: 14 | StateHash: 0x976FDF1E
[HEARTBEAT] SimTick: 7330 | NetHead: 7329 | Confirmed: 7316 | Missing: 14 | StateHash: 0x3C0A1A85
[HEARTBEAT] SimTick: 7390 | NetHead: 7389 | Confirmed: 7376 | Missing: 14 | StateHash: 0x333E36AE
[HEARTBEAT] SimTick: 7450 | NetHead: 7449 | Confirmed: 7436 | Missing: 14 | StateHash: 0x44329975
[HEARTBEAT] SimTick: 7510 | NetHead: 7509 | Confirmed: 7496 | Missing: 14 | StateHash: 0xFD616C86
[HEARTBEAT] SimTick: 7570 | NetHead: 7569 | Confirmed: 7556 | Missing: 14 | StateHash: 0x48AF3745
[HEARTBEAT] SimTick: 7630 | NetHead: 7629 | Confirmed: 7616 | Missing: 14 | StateHash: 0x828A6C16
[HEARTBEAT] SimTick: 7690 | NetHead: 7689 | Confirmed: 7676 | Missing: 14 | StateHash: 0xA1912AB5
[HEARTBEAT] SimTick: 7751 | NetHead: 7750 | Confirmed: 7737 | Missing: 14 | StateHash: 0xFDB07BEE
